ScientificName,CommonName,Lmax,TL,Habitat,MeanCatch
Leiognathus,Slipmouths,12,3.22,DemSm,3632.948276
Trachinotus,Pompanos,102,3.69,Pelagic,5487.043103
Alopias,Thresher sharks,400,4.5,Pelagic,980.4913793
Merluccius,Hakes,125,4.27,DemLg,361532.0603
Trachurus,Jack mackerels,66,3.7,Pelagic,310484.3405
Spicara,Picarels,25,3.58,DemSm,14493.48276
Diplodus,Seabreams and porgies,49,2.97,DemMed,4554.823276
Epigonus,Cardinalfishes,20,3.5,DemSm,599.8793103
Scolopsis,Monocle breams,25,3.3,DemSm,1437.948276
Dentex,Seabreams (Dentex spp),100,3.97,DemMed,12181.5
Scyliorhinus,Lesser catsharks,100,3.86,Pelagic,109.362069
Chirocentrus,Wolf herring,100,4.3,DemLg,36167.3319
Pagrus,Seabreams (Pagrus spp),100,3.55,DemLg,4757.461207
Priacanthus,Bigeyes,33,3.81,DemMed,39611.44397
Seriola,Amberjacks,164,4.39,DemMed,58583.86207
Gerres,Silver biddies,25,3.27,DemSm,5478.267241
Beryx,Alfonsinos,60,3.97,DemLg,3167.426724
Sebastes,Redfishes,87,3.79,DemMed,346666.1121
Pagellus,Pandoras,70,3.44,DemMed,9452.931034
Auxis,Frigate tuna,60,4.24,Pelagic,129565.0086
Peprilus,Harvestfishes,28,3.78,DemSm,427.0689655
Micropogonias,Western croakers,49,3.29,DemMed,2701.336207
Tylosurus,Needlefishes,122,4.47,DemLg,6170.517241
Salvelinus,Char,90,4.1,DemSm,72.90517241
Microchirus,Iberian soles,20,3.28,DemSm,89.29310345
Pristiophorus,Sawsharks,137,4.01,Pelagic,59.27586207
Chrysoblephus,Seabreams,81,3.59,DemMed,210.3448276
Nemipterus,Threadfin breams,29,3.72,DemSm,166622.6293
Cantherhines,Filefishes,50,3.5,DemSm,121144.0862
Muraenesox,Conger eels,180,3.99,DemLg,22854.15517
Sardinella,Sardinella,35,2.77,Pelagic,483835.3836
Harengula,Herring,20,3.37,Pelagic,1016.866379
Seriolella,Barrelfishes,90,3.51,Pelagic,12699.98276
Decapterus,Scads,37,3.63,Pelagic,502227.4871
Genypterus,Cusk eels,140,4.2,DemLg,822.3663793
Dicentrarchus,European/spotted seabass,100,3.94,Pelagic,1160.5
Menticirrhus,Kingcroakers,41,3.67,DemMed,448.9008621
Cynoscion,Weakfishes,90,4.21,DemLg,42882.18103
Mycteroperca,Cat groupers,123,4.35,DemLg,892.362069
Hydrolagus,Chimaeras,75,3.51,DemMed,270.0905172
Lepidorhombus,Megrims,49,3.97,DemMed,9024.931034
Rhombosolea,Flounders,50,3.1,DemMed,686.8922414
Pseudotolithus,Croakers,100,3.79,DemMed,28531.90086
Gymnocranius,Large-eye breams,50,3.4,DemMed,412.1896552
Rastrelliger,Indo-Pacific mackerels,33,3.1,Pelagic,155265.3362
Austroglossus,Southern soles,62,3.76,DemMed,443.3534483
Anarhichas,Wolffish,148,3.35,DemLg,10680.75
Coregonus,Whitefishes,82,3.3,DemMed,1196.49569
Stolephorus,Indo-Pacific anchovies,15,3.45,Pelagic,180990.5431
Hemiramphus,Halfbeaks,45,3.05,Pelagic,26257.78879
Phycis,"Gunnels, forkbeards",90,4,DemMed,293.9741379
Trematomus,Antarctic rockcods,23,3.29,DemMed,791.0474138
Pampus,Silver pomfrets,60,3.42,DemMed,86117.7069
Loligo,Common squids,25,3.99,Invert,120157.6638
Crassostrea,Cupped oysters,25,2,Invert,4340.021552
Eledone,Horned and musky octopuses,31,3.68,Invert,2341.62069
Haliotis,Abalones,30,2,Invert,6978.258621
Littorina,Periwinkles,2,2,Invert,2333.202586
Murex,Murex shells,15,2,Invert,730.8793103
Strombus,Stromboid conchs,23,2,Invert,13539.81034
Turbo,Turbo snails,7,2.05,Invert,250.8
Chionoecetes,Pacific snow crabs,20,2.3,Invert,54202.32328
Geryon,Deepsea crabs,18,2.6,Invert,3479.862069
Portunus,Swims crabs,20,3.4,Invert,1746.073276
Palinurus,Spiny lobsters,50,2.7,Invert,1758.008621
Panulirus,Tropical spiny lobsters,40,2.6,Invert,8087.931034
Haliporoides,Knife shrimps,18,2.6,Invert,327.4913793
Metapenaeus,Metapenaeus shrimps,17,2.7,Invert,30655.98276
Pandalus,Pandalus shrimps,16,2.6,Invert,10254.39224
Parapenaeopsis,Shrimps,17,2.72,Invert,8403.396552
Penaeus,Penaeus shrimps,34,2.7,Invert,214351.2284
Busycon,Whelks,15,3,Invert,2427.038793
Rapana,Sea snails,15,3,Invert,849.2241379
Modiolus,Horse mussels,13,2,Invert,6964.818966
Anadara,Anadara clams,6,2,Invert,500.6034483
Arca,Ark clams,6,2,Invert,18934.41379
Donax,Donax clams,4,2,Invert,201.1896552
Meretrix,Hard clams,5,2,Invert,4640.275862
Mulinia,Taquilla clams,6,2,Invert,901.6724138
Paphia,Short neck clams,5,2,Invert,29382.84483
Solen,Razor clams,15,2,Invert,672.2758621
Strongylocentrotus,Sea urchins,8,2.1,Invert,29169.25
Cymbium,Gondolas,5,2,Invert,1434.965517
Charybdis,Indo-Pacific swimming crabs,30,2.7,Invert,5057.551724
Engraulis ringens,Anchoveta,20,2.7,Pelagic,5054140.052
Coryphaena hippurus,Common dolphinfish,172,4.37,Pelagic,27481.56466
Epinephelus guttatus,Red hind,76,3.88,Reef-associated,101.7112069
Epinephelus morio,Red grouper,102,3.67,DemLg,4514.603448
Epinephelus striatus,Nassau grouper,100,4.14,DemLg,445.25
Argentina sphyraena,Argentine,35,3.62,Pelagic,233.5862069
Clupea harengus,Atlantic herring,40,3.23,Pelagic,2140640.724
Gadiculus argenteus thori,Silvery pout,15,3.51,Pelagic-oceanic,82.37931034
Glyptocephalus cynoglossus,Witch,60,3.14,DemMed,23564.94828
Lepidorhombus whiffiagonis,Megrim,49,3.58,DemMed,10570.57759
Merlangius merlangus,Whiting,57,4.29,DemMed,145328.7931
Merluccius merluccius,European hake,125,4.42,DemLg,115418.556
Micromesistius poutassou,Blue whiting,41,4.01,DemMed,559505.0647
Molva molva,Ling,164,3,DemLg,47584.49569
Pollachius pollachius,Pollock,107,4.15,DemLg,10246.88362
Aspitrigla cuculus,East Atlantic red gurnard,50,3.85,Demersal,855.8017241
Belone belone,Garpike,89,4.21,Pelagic,4777.827586
Brosme brosme,Tusk,98,4,DemLg,35079.88793
Capros aper,Boarfish,30,3.14,DemMed,397.4482759
Cyclopterus lumpus,Lumpsucker,49,3.89,DemMed,8046.090517
Dicentrarchus labrax,European seabass,100,3.8,DemLg,4532.310345
Engraulis encrasicolus,European anchovy,20,3.11,Pelagic,446785.7931
Chelidonichthys gurnardus,Grey gurnard,53,3.57,DemMed,4162.461207
Gadus morhua,Atlantic cod,186,4.42,DemLg,2097053.457
